,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
144,2025-12-18T21:02:59-03:00,2025-12-19T00:02:59.000Z,TREND,SHORT,0.1672240802675585,119.6,119.81,-0.0351170568561886,-0.000035117056856188624,0.0293736034067324,-1.1955311158092305,TRAIL_SL_SHORT
146,2025-12-18T21:04:59-03:00,2025-12-19T00:04:59.000Z,TREND,LONG,0.1672100994900092,119.61,119.4,-0.0351141208929008,-0.000035114120892900884,0.034665028720387,-1.0129551940122778,TRAIL_SL_LONG
148,2025-12-18T21:13:59-03:00,2025-12-19T00:13:59.000Z,TREND,LONG,0.1670983373715431,119.69,119.61,-0.0133678669897231,-0.000013367866989723169,0.0379469399845516,-0.3522778647017448,DELTA_FLIP_SHORT
150,2025-12-18T21:17:59-03:00,2025-12-19T00:17:59.000Z,TREND,SHORT,0.1672100994900092,119.61,119.66,-0.0083605049744999,-0.000008360504974499986,0.0366493787483994,-0.22812132865594703,TRAIL_SL_SHORT
152,2025-12-18T21:22:59-03:00,2025-12-19T00:22:59.000Z,TREND,LONG,0.1672520488375982,119.58,119.55,-0.0050175614651281,-0.000005017561465128138,0.0364755923261476,-0.1375594238542701,TRAIL_SL_LONG
154,2025-12-18T21:35:59-03:00,2025-12-19T00:35:59.000Z,TREND,SHORT,0.1683501683501683,118.8,118.73,0.0117845117845106,0.000011784511784510635,0.0424202770558617,0.27780374392633056,DELTA_FLIP_LONG
156,2025-12-18T21:37:59-03:00,2025-12-19T00:37:59.000Z,TREND,LONG,0.168449423060726,118.73,118.62,-0.0185294365366797,-0.000018529436536679768,0.0395403154244181,-0.46862136373441415,DELTA_FLIP_SHORT
159,2025-12-19T01:13:59-03:00,2025-12-19T04:13:59.000Z,TREND,LONG,0.1645684193203324,121.53,121.86,0.0543075783757094,0.00005430757837570942,0.0737075787772402,0.7367977523700557,DELTA_FLIP_SHORT
161,2025-12-19T01:15:59-03:00,2025-12-19T04:15:59.000Z,TREND,SHORT,0.1641227638273428,121.86,122.01,-0.0246184145741023,-0.00002461841457410236,0.0650779675969344,-0.3782910788883024,DELTA_FLIP_LONG
163,2025-12-19T01:17:59-03:00,2025-12-19T04:17:59.000Z,TREND,LONG,0.1639209900827801,122.01,122.1,0.0147528891074484,0.00001475288910744844,0.0628184454268655,0.2348496370325498,DELTA_FLIP_SHORT
165,2025-12-19T01:26:59-03:00,2025-12-19T04:26:59.000Z,TREND,SHORT,0.1638001638001638,122.1,121.85,0.0409500409500409,0.00004095004095004095,0.0615461093693642,0.665355476887782,DELTA_FLIP_LONG
